proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
1595,-4.1,12.0,-471.6,-2.3,12.5
1596,,,,,
1597,-4.0,12.0,-472.0,-2.2,12.5
1598,,,,,
1599,-4.1,12.0,-471.5,-2.3,12.5
1600,,,,,
1601,-4.0,12.0,-471.5,-2.2,12.5
1602,,,,,
1603,-4.2,12.1,-471.5,-2.4,12.6
1604,-4.1,12.0,-471.7,-2.3,12.5
1605,,,,,
1606,-4.1,12.1,-472.4,-2.3,12.6
1607,,,,,
1608,-4.1,12.1,-472.0,-2.3,12.6
1609,,,,,
1610,,,,,
1611,-4.1,12.0,-471.8,-2.3,12.5
1612,-4.2,12.0,-471.9,-2.3,12.5
1613,,,,,
1614,-4.2,12.0,-471.7,-2.4,12.5
1615,,,,,
1616,-4.0,12.0,-471.5,-2.2,12.5
1617,,,,,
1618,-4.1,12.0,-471.9,-2.3,12.5
1619,,,,,
1620,-4.1,12.0,-472.4,-2.3,12.5
1621,,,,,
1622,-4.1,12.1,-472.1,-2.3,12.6
1623,,,,,
1624,,,,,
1625,-4.1,12.0,-471.9,-2.3,12.5
1626,-4.1,12.0,-472.0,-2.3,12.5
1627,,,,,
1628,,,,,
1629,-4.2,12.1,-471.6,-2.4,12.6
1630,,,,,
1631,-4.1,12.1,-471.7,-2.3,12.6
1632,-4.1,12.0,-471.9,-2.3,12.5
1633,,,,,
1634,,,,,
1635,-4.1,12.0,-472.0,-2.3,12.5
1636,-4.1,12.1,-472.2,-2.3,12.6
1637,,,,,
1638,,,,,
1639,-4.1,12.0,-472.2,-2.3,12.5
1640,-4.1,12.0,-471.8,-2.3,12.5
1641,,,,,
1642,,,,,
1643,-4.1,12.1,-471.9,-2.2,12.6
1644,,,,,
1645,-4.1,12.0,-471.7,-2.3,12.5
1646,-4.1,12.0,-472.3,-2.3,12.5
1647,,,,,
1648,,,,,
1649,-4.1,12.0,-472.0,-2.3,12.5
1650,-4.1,12.1,-472.1,-2.2,12.6
1651,,,,,
1652,-4.0,12.0,-471.6,-2.2,12.5
1653,,,,,
1654,,,,,
1655,-4.1,12.1,-472.2,-2.2,12.6
1656,-4.1,12.1,-472.2,-2.2,12.5
1657,,,,,
1658,-4.1,12.0,-472.0,-2.3,12.5
1659,,,,,
1660,-4.1,12.0,-471.8,-2.2,12.5
1661,,,,,
1662,-4.1,12.0,-471.9,-2.2,12.5
1663,,,,,
1664,,,,,
1665,-4.1,12.1,-471.7,-2.2,12.6
1666,,,,,
1667,-4.1,12.0,-471.8,-2.2,12.5
1668,-4.1,12.0,-472.2,-2.2,12.5
1669,,,,,
1670,-4.1,12.1,-472.2,-2.2,12.5
1671,,,,,
1672,-4.1,12.1,-472.3,-2.2,12.6
1673,-4.1,12.1,-472.0,-2.2,12.6
1674,,,,,
1675,-4.0,12.0,-472.1,-2.1,12.5
1676,,,,,
1677,-4.1,12.0,-471.8,-2.2,12.5
1678,,,,,
1679,,,,,
1680,-4.1,12.1,-471.9,-2.2,12.5
1681,-4.1,12.1,-471.9,-2.2,12.6
1682,,,,,
1683,,,,,
1684,-4.0,12.0,-472.0,-2.1,12.5
1685,-4.0,12.0,-472.0,-2.1,12.5
1686,,,,,
1687,-4.1,12.0,-472.2,-2.2,12.5
1688,,,,,
1689,-4.1,12.0,-472.0,-2.2,12.5
1690,,,,,
1691,-4.1,12.0,-472.0,-2.2,12.5
1692,,,,,
1693,,,,,
1694,-4.1,12.1,-472.0,-2.2,12.6
1695,,,,,
1696,-4.2,12.1,-472.1,-2.3,12.6
1697,-4.1,12.1,-472.5,-2.2,12.6
1698,-4.1,12.1,-472.2,-2.2,12.6
1699,-4.0,12.0,-472.1,-2.1,12.5
1700,-4.0,12.0,-471.8,-2.1,12.5
1701,-4.1,12.1,-472.3,-2.2,12.6
1702,-4.1,12.1,-472.1,-2.2,12.6
1703,-4.1,12.0,-472.2,-2.2,12.5
1704,-4.1,12.0,-472.0,-2.2,12.5
1705,-4.1,12.1,-472.1,-2.2,12.6
1706,-4.1,12.1,-472.5,-2.2,12.6
1707,-4.1,12.1,-472.6,-2.2,12.6
1708,-4.1,12.1,-472.3,-2.2,12.6
1709,-4.1,12.1,-472.4,-2.2,12.6
1710,-4.1,12.1,-472.4,-2.1,12.6
1711,-4.1,12.1,-472.1,-2.2,12.6
1712,-4.1,12.1,-472.3,-2.1,12.6
1713,-4.1,12.1,-472.4,-2.1,12.6
1714,-4.1,12.1,-472.2,-2.1,12.6
1715,-4.1,12.1,-472.3,-2.1,12.6
1716,-4.1,12.1,-472.4,-2.1,12.6
1717,-4.1,12.1,-472.5,-2.1,12.6
1718,-4.1,12.1,-472.7,-2.1,12.6
1719,-4.1,12.1,-472.5,-2.1,12.6
1720,-4.1,12.1,-472.6,-2.1,12.6
1721,-4.1,12.1,-472.5,-2.1,12.6
1722,-4.1,12.1,-472.2,-2.1,12.6
1723,-4.1,12.1,-472.2,-2.1,12.6
1724,-4.1,12.1,-472.3,-2.1,12.6
1725,-4.1,12.1,-472.2,-2.1,12.6
1726,-4.1,12.1,-472.4,-2.1,12.6
1727,-4.1,12.1,-472.5,-2.1,12.6
1728,-4.0,12.0,-471.9,-2.0,12.5
1729,-4.1,12.1,-472.2,-2.1,12.6
1730,,,,,
1731,-4.1,12.1,-472.4,-2.1,12.6
1732,,,,,
1733,-4.1,12.1,-472.3,-2.1,12.6
1734,,,,,
1735,,,,,
1736,-4.1,12.1,-471.7,-2.1,12.6
1737,,,,,
1738,-4.1,12.1,-472.1,-2.1,12.6
1739,,,,,
1740,-4.1,12.1,-472.2,-2.1,12.6
1741,-4.1,12.1,-472.3,-2.1,12.6
1742,,,,,
1743,,,,,
1744,-4.1,12.1,-472.1,-2.1,12.6
1745,-4.1,12.1,-472.0,-2.1,12.6
1746,,,,,
1747,,,,,
1748,-4.1,12.1,-472.2,-2.0,12.6
1749,,,,,
1750,-4.1,12.1,-472.4,-2.1,12.6
1751,-4.1,12.1,-472.4,-2.0,12.6
1752,,,,,
1753,,,,,
1754,-4.1,12.1,-472.3,-2.1,12.6
1755,-4.1,12.0,-471.9,-2.0,12.6
1756,,,,,
1757,,,,,
1758,-4.1,12.1,-472.0,-2.0,12.6
1759,-4.1,12.1,-472.5,-2.0,12.6
1760,,,,,
1761,-4.1,12.1,-471.9,-2.0,12.6
1762,,,,,
1763,,,,,
1764,-4.1,12.1,-472.2,-2.0,12.6
1765,-4.1,12.1,-472.1,-2.0,12.6
1766,,,,,
1767,,,,,
1768,-4.1,12.1,-471.8,-2.0,12.6
1769,,,,,
1770,-4.1,12.1,-471.9,-2.0,12.6
1771,-4.1,12.1,-471.9,-2.0,12.6
1772,,,,,
1773,-4.1,12.1,-472.3,-2.0,12.6
1774,,,,,
1775,-4.1,12.1,-472.2,-2.0,12.6
1776,,,,,
1777,,,,,
1778,-4.0,12.1,-472.6,-1.9,12.6
1779,-4.1,12.1,-472.5,-2.0,12.6
1780,,,,,
1781,,,,,
1782,-4.1,12.0,-471.8,-2.0,12.5
1783,-4.1,12.1,-472.1,-2.0,12.6
1784,,,,,
1785,,,,,
1786,-4.0,12.1,-472.1,-1.9,12.6
1787,-4.1,12.1,-472.7,-1.9,12.6
1788,,,,,
1789,-4.0,12.1,-471.9,-1.9,12.6
1790,,,,,
1791,-4.1,12.1,-471.9,-2.0,12.6
1792,,,,,
1793,-4.1,12.1,-472.1,-1.9,12.6
1794,,,,,
1795,,,,,
1796,-4.1,12.1,-472.6,-2.0,12.6
1797,,,,,
1798,-4.0,12.1,-471.9,-1.9,12.6
1799,-4.1,12.1,-472.4,-1.9,12.6
1800,,,,,
1801,,,,,
1802,-4.1,12.1,-472.4,-2.0,12.6
1803,-4.0,12.1,-472.2,-1.8,12.6
1804,,,,,
1805,,,,,
1806,-4.1,12.1,-472.2,-1.9,12.6
1807,,,,,
1808,-4.1,12.1,-472.0,-1.9,12.6
1809,-4.0,12.1,-472.4,-1.8,12.6
1810,,,,,
1811,-4.1,12.1,-472.3,-1.9,12.6
1812,,,,,
1813,,,,,
1814,-4.0,12.1,-472.5,-1.8,12.6
1815,-4.1,12.1,-472.3,-1.9,12.6
1816,,,,,
1817,-4.1,12.1,-472.3,-1.9,12.6
1818,,,,,
1819,,,,,
1820,-4.1,12.1,-472.3,-1.9,12.6
1821,,,,,
1822,-4.0,12.1,-472.1,-1.8,12.6
1823,-4.1,12.1,-472.7,-1.8,12.6
1824,,,,,
1825,,,,,
1826,-4.1,12.1,-472.4,-1.9,12.6
1827,,,,,
1828,-4.1,12.1,-472.5,-1.9,12.6
1829,-4.1,12.1,-472.2,-1.9,12.6
1830,,,,,
1831,-4.0,12.1,-472.4,-1.8,12.6
1832,,,,,
1833,-4.0,12.1,-472.1,-1.8,12.6
1834,,,,,
1835,,,,,
1836,-4.0,12.1,-472.1,-1.8,12.6
1837,-4.0,12.1,-472.1,-1.8,12.6
1838,,,,,
1839,-4.0,12.1,-471.9,-1.8,12.6
1840,,,,,
1841,-4.0,12.1,-472.1,-1.8,12.6
1842,,,,,
1843,,,,,
1844,-4.1,12.1,-472.1,-1.8,12.6
1845,-4.0,12.1,-472.0,-1.7000000000000002,12.6
1846,,,,,
1847,-4.0,12.1,-472.2,-1.7000000000000002,12.6
1848,,,,,
1849,,,,,
1850,-4.0,12.1,-472.1,-1.7000000000000002,12.6
1851,-4.0,12.1,-472.1,-1.7000000000000002,12.6
1852,,,,,
1853,,,,,
1854,-4.0,12.1,-471.8,-1.7000000000000002,12.6
1855,,,,,
1856,-4.0,12.1,-472.2,-1.7000000000000002,12.6
1857,-4.0,12.0,-471.9,-1.7000000000000002,12.5
1858,,,,,
1859,,,,,
1860,-4.0,12.1,-472.0,-1.7000000000000002,12.6
1861,-4.0,12.1,-472.2,-1.7000000000000002,12.6
1862,,,,,
1863,,,,,
1864,-4.0,12.1,-472.8,-1.7000000000000002,12.6
1865,,,,,
1866,-4.1,12.1,-471.9,-1.7000000000000002,12.6
1867,,,,,
1868,-4.0,12.1,-472.1,-1.7000000000000002,12.6
1869,-4.1,12.1,-471.7,-1.7000000000000002,12.6
1870,,,,,
1871,-4.0,12.1,-471.9,-1.7000000000000002,12.6
1872,,,,,
1873,,,,,
1874,-4.0,12.1,-471.7,-1.7000000000000002,12.6
1875,,,,,
1876,-4.0,12.1,-471.9,-1.7000000000000002,12.6
1877,-4.0,12.1,-471.7,-1.6,12.6
1878,,,,,
1879,-4.0,12.1,-472.0,-1.7000000000000002,12.6
1880,,,,,
1881,,,,,
1882,-4.0,12.1,-472.3,-1.6,12.6
1883,,,,,
1884,-4.1,12.1,-472.4,-1.7000000000000002,12.7
1885,-4.0,12.1,-472.2,-1.6,12.6
1886,,,,,
1887,,,,,
1888,-4.0,12.1,-472.0,-1.6,12.6
1889,-4.0,12.1,-471.8,-1.6,12.6
1890,,,,,
1891,,,,,
1892,-4.0,12.1,-472.1,-1.6,12.6
1893,-4.0,12.1,-472.3,-1.6,12.6
1894,,,,,
1895,,,,,
1896,-4.0,12.1,-472.1,-1.6,12.6
1897,-4.1,12.1,-472.0,-1.7000000000000002,12.7
1898,,,,,
1899,-4.0,12.1,-472.0,-1.6,12.6
1900,,,,,
1901,-4.1,12.1,-471.9,-1.7000000000000002,12.7
1902,,,,,
1903,,,,,
1904,-4.0,12.1,-472.7,-1.6,12.6
1905,-4.0,12.1,-472.3,-1.6,12.7
1906,,,,,
1907,,,,,
1908,-4.1,12.1,-472.1,-1.6,12.7
1909,,,,,
1910,-4.0,12.1,-472.2,-1.6,12.6
1911,,,,,
1912,-4.0,12.1,-472.4,-1.5,12.7
1913,-4.0,12.1,-472.3,-1.5,12.7
1914,,,,,
1915,-4.0,12.1,-472.4,-1.5,12.7
1916,,,,,
1917,-4.0,12.1,-472.5,-1.5,12.7
1918,,,,,
1919,-4.0,12.1,-472.4,-1.5,12.7
1920,,,,,
1921,-4.0,12.1,-472.3,-1.5,12.7
1922,,,,,
1923,,,,,
1924,-4.1,12.1,-472.4,-1.6,12.7
1925,-4.0,12.1,-472.3,-1.5,12.7
1926,,,,,
1927,,,,,
1928,-4.0,12.1,-472.6,-1.5,12.7
1929,-4.0,12.1,-472.2,-1.5,12.7
1930,,,,,
1931,,,,,
1932,-4.0,12.1,-472.4,-1.5,12.7
1933,-4.1,12.1,-472.4,-1.6,12.7
1934,,,,,
1935,-4.0,12.1,-472.2,-1.5,12.7
1936,,,,,
1937,,,,,
1938,-4.0,12.1,-472.8,-1.5,12.7
1939,,,,,
1940,-4.0,12.1,-472.5,-1.5,12.7
1941,,,,,
1942,-4.0,12.1,-472.2,-1.4,12.7
1943,-4.0,12.1,-471.8,-1.4,12.6
1944,,,,,
1945,,,,,
1946,-4.0,12.1,-472.7,-1.4,12.7
1947,,,,,
1948,-4.0,12.1,-472.7,-1.4,12.7
1949,-4.0,12.1,-472.4,-1.4,12.7
1950,,,,,
1951,,,,,
1952,-4.0,12.1,-472.0,-1.4,12.7
1953,,,,,
1954,-4.0,12.1,-471.9,-1.4,12.7
1955,,,,,
1956,-4.0,12.1,-472.5,-1.4,12.7
1957,-4.0,12.1,-472.7,-1.4,12.7
1958,,,,,
1959,,,,,
1960,-4.0,12.1,-472.6,-1.4,12.7
1961,,,,,
1962,-4.0,12.1,-472.4,-1.4,12.7
1963,-4.0,12.1,-472.4,-1.4,12.7
1964,,,,,
1965,,,,,
1966,-4.0,12.1,-472.4,-1.4,12.7
1967,-4.0,12.1,-472.0,-1.4,12.7
1968,,,,,
1969,,,,,
1970,-4.0,12.1,-472.6,-1.3,12.7
1971,,,,,
1972,-4.0,12.1,-472.5,-1.3,12.7
1973,,,,,
1974,-4.0,12.1,-471.9,-1.3,12.7
1975,-4.0,12.1,-472.2,-1.3,12.7
1976,,,,,
1977,,,,,
1978,-4.0,12.1,-472.5,-1.3,12.7
1979,-4.0,12.1,-472.3,-1.3,12.7
1980,,,,,
1981,,,,,
1982,-4.0,12.1,-472.2,-1.3,12.7
1983,-4.0,12.1,-472.0,-1.3,12.7
1984,,,,,
1985,-4.0,12.1,-472.2,-1.3,12.7
1986,,,,,
1987,,,,,
1988,-4.0,12.1,-472.4,-1.3,12.7
1989,-4.0,12.1,-472.5,-1.3,12.7
1990,,,,,
1991,,,,,
1992,-4.0,12.1,-472.7,-1.3,12.7
1993,,,,,
1994,-4.0,12.1,-472.3,-1.3,12.7
1995,-4.0,12.1,-472.1,-1.3,12.7
1996,,,,,
1997,-4.0,12.1,-472.8,-1.2,12.7
1998,,,,,
1999,,,,,
2000,-4.0,12.1,-472.3,-1.2,12.7
2001,,,,,
2002,-4.0,12.1,-472.0,-1.2,12.7
2003,,,,,
2004,-4.0,12.1,-472.2,-1.3,12.7
2005,,,,,
2006,-4.0,12.1,-472.5,-1.2,12.7
2007,-4.0,12.1,-472.7,-1.2,12.7
2008,,,,,
2009,-4.1,12.1,-471.9,-1.3,12.7
2010,,,,,
2011,,,,,
2012,-4.0,12.1,-472.4,-1.2,12.7
2013,,,,,
2014,-4.0,12.1,-472.5,-1.2,12.7
2015,,,,,
2016,-4.0,12.1,-472.3,-1.2,12.7
2017,-4.0,12.1,-472.8,-1.2,12.7
2018,,,,,
2019,,,,,
2020,-4.0,12.1,-472.3,-1.2,12.7
2021,-4.0,12.1,-472.5,-1.2,12.7
2022,,,,,
2023,,,,,
2024,-4.0,12.1,-472.3,-1.1,12.7
2025,,,,,
2026,-4.0,12.1,-472.6,-1.2,12.7
2027,-4.0,12.1,-472.6,-1.2,12.7
2028,,,,,
2029,-4.0,12.1,-472.7,-1.1,12.7
2030,,,,,
2031,,,,,
2032,-4.0,12.1,-472.4,-1.1,12.7
2033,-4.0,12.1,-472.5,-1.1,12.7
2034,,,,,
2035,-4.1,12.1,-472.7,-1.2,12.7
2036,,,,,
2037,-4.0,12.1,-472.8,-1.1,12.7
2038,,,,,
2039,,,,,
2040,-4.0,12.1,-472.9,-1.1,12.7
2041,,,,,
2042,-4.0,12.1,-472.8,-1.1,12.7
2043,-4.1,12.1,-473.0,-1.1,12.7
2044,,,,,
2045,-4.0,12.1,-472.7,-1.1,12.7
2046,,,,,
2047,-4.0,12.1,-472.6,-1.1,12.7
2048,,,,,
2049,,,,,
2050,-4.0,12.1,-472.7,-1.0,12.7
2051,,,,,
2052,-4.0,12.1,-472.8,-1.0,12.7
2053,,,,,
2054,-4.0,12.1,-472.7,-1.0,12.7
2055,,,,,
2056,-4.0,12.1,-472.7,-1.0,12.7
2057,,,,,
2058,-4.0,12.1,-472.7,-1.0,12.7
2059,-4.0,12.1,-472.7,-1.0,12.7
2060,,,,,
2061,-4.0,12.1,-472.7,-1.0,12.7
2062,,,,,
2063,-4.0,12.1,-472.5,-1.0,12.7
2064,,,,,
2065,-4.0,12.1,-472.7,-1.0,12.7
2066,,,,,
2067,-4.0,12.1,-472.6,-1.0,12.7
2068,,,,,
2069,-4.0,12.1,-472.7,-1.0,12.7
2070,,,,,
2071,,,,,
2072,-4.0,12.1,-472.8,-1.0,12.7
2073,-4.0,12.1,-472.9,-0.9,12.7
2074,,,,,
2075,,,,,
2076,-4.0,12.1,-472.7,-0.9,12.7
2077,,,,,
2078,-4.0,12.1,-472.6,-0.9,12.7
2079,-4.0,12.1,-472.9,-0.9,12.7
2080,,,,,
2081,,,,,
2082,-4.0,12.1,-472.7,-0.9,12.7
2083,,,,,
2084,-4.0,12.1,-472.5,-0.9,12.7
2085,-4.0,12.1,-472.8,-0.9,12.7
2086,,,,,
2087,-4.0,12.1,-472.7,-0.9,12.7
2088,,,,,
2089,-4.0,12.1,-472.9,-0.9,12.7
2090,,,,,
2091,,,,,
2092,-4.0,12.1,-473.4,-0.9,12.7
2093,,,,,
2094,-4.0,12.1,-472.7,-0.9,12.7
2095,,,,,
2096,-4.0,12.1,-472.7,-0.9,12.7
2097,,,,,
2098,-4.0,12.1,-473.0,-0.9,12.7
2099,-4.0,12.1,-472.9,-0.8,12.7
2100,-4.0,12.1,-473.4,-0.9,12.7
2101,,,,,
2102,,,,,
2103,-4.0,12.1,-473.1,-0.8,12.7
2104,-4.0,12.1,-473.0,-0.8,12.7
2105,,,,,
2106,,,,,
2107,-4.0,12.1,-472.7,-0.8,12.7
2108,-4.0,12.1,-472.9,-0.8,12.7
2109,,,,,
2110,,,,,
2111,-51.6,12.1,-473.0,-46.8,24.8
2112,-4.0,12.1,-473.2,-0.8,12.7
2113,,,,,
2114,,,,,
2115,-4.0,12.1,-473.3,-0.8,12.7
2116,,,,,
2117,-4.0,12.1,-473.0,-0.8,12.7
2118,-4.0,12.1,-473.1,-0.7000000000000001,12.7
2119,,,,,
2120,-4.0,12.1,-472.9,-0.7000000000000001,12.7
2121,,,,,
2122,-4.0,12.1,-472.7,-0.7000000000000001,12.7
2123,,,,,
2124,,,,,
2125,-4.0,12.1,-472.9,-0.7000000000000001,12.7
2126,-4.0,12.1,-472.8,-0.7000000000000001,12.7
2127,,,,,
2128,,,,,
2129,-4.0,12.1,-473.2,-0.7000000000000001,12.7
2130,-4.0,12.1,-473.0,-0.7000000000000001,12.7
2131,,,,,
2132,,,,,
2133,-4.0,12.1,-473.0,-0.7000000000000001,12.7
2134,-4.0,12.1,-473.0,-0.7000000000000001,12.7
2135,,,,,
2136,,,,,
2137,-4.0,12.1,-472.8,-0.7000000000000001,12.7
2138,-4.0,12.1,-472.6,-0.7000000000000001,12.7
2139,,,,,
2140,,,,,
2141,-4.0,12.1,-473.3,-0.7000000000000001,12.7
2142,,,,,
2143,-4.2,12.1,-473.2,-0.8,12.8
2144,,,,,
2145,-4.0,12.1,-473.4,-0.6000000000000001,12.7
2146,-4.1,12.0,-473.1,-0.7000000000000001,12.7
2147,,,,,
2148,,,,,
2149,-4.0,12.1,-472.9,-0.6000000000000001,12.7
2150,-4.0,12.1,-472.8,-0.6000000000000001,12.7
2151,,,,,
2152,-4.0,12.1,-473.0,-0.6000000000000001,12.7
2153,,,,,
2154,-4.0,12.1,-473.2,-0.6000000000000001,12.7
2155,,,,,
2156,,,,,
2157,-4.0,12.1,-473.3,-0.6000000000000001,12.7
2158,-4.0,12.1,-473.0,-0.6000000000000001,12.7
2159,,,,,
2160,,,,,
2161,-4.0,12.1,-472.7,-0.6000000000000001,12.7
2162,-89.9,3.0,-472.7,-85.7,27.2
2163,,,,,
2164,-50.3,6.2,-473.0,-46.8,19.7
2165,-104.7,0.5,-472.7,-100.5,29.0
2166,,,,,
2167,,,,,
2168,-62.3,5.2,-472.7,-58.5,22.1
2169,-4.0,12.1,-472.9,-0.5,12.7
2170,,,,,
2171,,,,,
2172,-102.9,2.4,-472.9,-98.3,30.6
2173,,,,,
2174,-54.8,11.9,-474.0,-49.4,26.5
2175,-100.8,0.0,-473.7,-96.9,27.8
2176,,,,,
2177,-79.9,3.9,-473.2,-75.7,25.9
2178,,,,,
2179,,,,,
2180,-63.4,4.4,-473.0,-59.7,21.8
2181,,,,,
2182,-109.4,0.30000000000000004,-473.1,-105.0,30.7
2183,-110.1,-2.6,-473.3,-106.5,28.2
2184,,,,,
2185,,,,,
2186,-59.7,4.7,-473.5,-56.0,21.2
2187,,,,,
2188,-53.8,5.5,-473.7,-50.1,20.4
2189,-108.1,1.1,-473.1,-103.5,31.4
2190,,,,,
2191,-103.9,-0.30000000000000004,-473.3,-99.8,28.9
2192,,,,,
2193,-108.6,2.4,-472.9,-103.5,32.9
2194,,,,,
2195,-4.0,12.2,-473.8,-0.4,12.8
2196,,,,,
2197,-105.4,4.6,-473.6,-99.7,34.3
2198,,,,,
2199,-100.1,5.0,-473.4,-94.6,33.3
2200,,,,,
2201,-4.1,12.1,-473.0,-0.5,12.8
2202,,,,,
2203,,,,,
2204,-63.7,6.0,-473.1,-59.3,23.9
2205,-104.3,3.4,-473.2,-99.0,33.0
2206,,,,,
2207,-108.0,3.2,-473.6,-102.6,34.0
2208,,,,,
2209,-104.0,3.0,-474.0,-98.7,32.7
2210,,,,,
2211,,,,,
2212,-104.3,3.8,-473.7,-98.8,33.7
2213,-96.7,7.7,-473.8,-90.4,35.3
2214,,,,,
2215,,,,,
2216,-36.2,8.8,-473.5,-32.1,18.9
2217,,,,,
2218,-106.3,1.5,-473.3,-101.3,32.2
2219,,,,,
2220,-90.9,8.9,-473.5,-84.4,35.0
2221,,,,,
2222,-107.7,6.0,-473.6,-101.3,37.1
2223,,,,,
2224,-106.3,0.4,-473.4,-101.6,31.4
2225,,,,,
2226,-106.4,5.7,-473.4,-100.1,36.5
2227,-110.3,-0.7000000000000001,-473.1,-105.7,31.7
2228,,,,,
2229,-4.0,12.1,-473.4,-0.30000000000000004,12.8
2230,,,,,
2231,-110.9,2.1,-473.1,-105.4,34.7
2232,,,,,
2233,,,,,
2234,-108.6,4.1,-472.8,-102.5,36.0
2235,,,,,
2236,-103.3,4.8,-473.5,-97.2,35.1
2237,-4.1,12.0,-473.9,-0.30000000000000004,12.7
2238,,,,,
2239,,,,,
2240,-4.3,11.9,-473.4,-0.6000000000000001,12.6
2241,,,,,
2242,-108.0,1.6,-473.4,-102.6,33.7
2243,,,,,
2244,-107.2,2.3,-474.0,-101.6,34.2
2245,,,,,
2246,-101.1,1.8,-474.1,-95.9,31.9
2247,-103.5,0.7000000000000001,-473.9,-98.5,31.7
2248,,,,,
2249,-103.5,3.5,-473.2,-97.7,34.4
2250,,,,,
2251,-100.8,2.9,-473.7,-95.2,33.2
2252,,,,,
2253,,,,,
2254,-109.6,3.0,-474.1,-103.6,36.0
2255,-106.4,4.0,-473.8,-100.2,36.0
2256,,,,,
2257,-104.8,2.8,-474.0,-99.0,34.4
2258,,,,,
2259,-107.5,6.1,-474.1,-100.6,38.5
2260,,,,,
2261,-105.4,4.8,-473.6,-98.9,36.7
2262,,,,,
2263,-104.2,4.4,-474.0,-97.9,36.0
2264,,,,,
2265,,,,,
2266,-101.2,6.3,-473.9,-94.4,37.0
2267,-103.2,4.9,-473.7,-96.7,36.3
2268,,,,,
2269,-105.7,2.3,-473.9,-99.9,34.7
2270,,,,,
2271,,,,,
2272,-107.0,8.4,-474.0,-99.3,41.0
2273,-100.7,7.9,-473.8,-93.4,38.6
2274,,,,,
2275,-98.0,10.3,-474.2,-90.0,40.1
2276,,,,,
2277,-106.3,9.7,-473.9,-98.1,42.1
2278,,,,,
2279,,,,,
2280,-107.6,0.8,-473.6,-102.0,34.2
2281,-97.3,4.9,-473.6,-91.0,35.0
2282,,,,,
2283,,,,,
2284,-100.7,8.2,-474.3,-93.1,39.3
2285,-97.0,10.0,-474.4,-89.0,39.9
2286,,,,,
2287,-100.9,10.6,-474.2,-92.5,41.7
2288,,,,,
2289,,,,,
2290,-103.9,5.9,-473.7,-96.7,38.3
2291,,,,,
2292,-105.0,8.1,-473.9,-97.1,40.8
2293,,,,,
2294,-99.8,10.2,-474.2,-91.5,41.2
2295,-99.5,10.3,-474.6,-91.1,41.2
2296,,,,,
2297,,,,,
2298,-97.3,11.4,-474.3,-88.7,41.7
2299,,,,,
2300,-94.8,7.1,-474.5,-87.7,36.8
2301,,,,,
2302,-94.0,4.8,-474.4,-87.6,34.5
2303,,,,,
2304,-91.8,8.5,-475.1,-84.3,37.3
2305,,,,,
2306,-87.0,7.8,-474.9,-80.0,35.1
2307,-90.3,6.5,-475.1,-83.4,35.1
2308,,,,,
2309,-89.0,5.8,-474.9,-82.4,34.0
2310,,,,,
2311,,,,,
2312,-96.0,8.6,-474.3,-88.2,39.0
2313,,,,,
2314,-91.8,10.5,-474.8,-83.5,39.5
2315,,,,,
2316,-95.0,8.7,-474.7,-87.1,38.9
2317,-91.4,8.5,-474.5,-83.7,37.6
2318,,,,,
2319,,,,,
2320,-92.4,8.5,-474.1,-84.6,38.0
2321,-93.7,7.0,-474.4,-86.3,37.1
2322,,,,,
2323,-88.5,12.7,-474.8,-79.6,40.9
2324,,,,,
2325,,,,,
2326,-84.1,10.7,-475.1,-76.0,37.6
2327,,,,,
2328,-80.8,12.3,-474.9,-72.3,38.1
2329,-79.3,8.2,-474.6,-72.3,33.7
2330,,,,,
2331,-82.5,8.7,-475.0,-75.1,35.3
2332,,,,,
2333,,,,,
2334,-76.8,11.5,-475.5,-68.7,36.1
2335,-80.2,15.4,-475.0,-70.6,41.0
2336,,,,,
2337,,,,,
2338,-78.2,6.8,-475.0,-71.6,32.2
2339,,,,,
2340,-80.4,10.4,-473.7,-72.5,36.4
2341,-70.6,13.1,-475.0,-62.2,35.7
2342,,,,,
2343,-70.5,14.1,-475.6,-61.8,36.7
2344,,,,,
2345,-66.0,16.7,-475.9,-56.7,37.7
2346,,,,,
2347,,,,,
2348,-64.6,14.7,-457.5,-56.0,35.4
2349,,,,,
2350,-72.7,11.1,-475.7,-64.8,34.7
2351,-70.3,9.6,-466.7,-63.0,32.6
2352,,,,,
2353,-63.6,12.2,-457.8,-55.8,32.8
2354,,,,,
2355,-63.7,14.5,-457.9,-55.2,35.1
2356,-62.4,15.7,-458.2,-53.5,35.8
2357,,,,,
2358,-63.6,14.4,-458.1,-55.0,35.0
2359,,,,,
2360,,,,,
2361,-63.7,17.8,-458.5,-53.9,38.3
2362,-71.2,11.6,-475.8,-63.1,35.0
2363,,,,,
2364,-72.3,14.6,-474.6,-63.1,38.3
2365,,,,,
2366,,,,,
2367,-64.0,12.5,-459.1,-55.9,33.5
2368,,,,,
2369,-73.7,14.1,-475.5,-64.5,38.4
2370,-74.6,13.5,-475.2,-65.5,38.1
2371,,,,,
2372,-73.3,16.2,-475.4,-63.3,40.3
2373,,,,,
2374,,,,,
2375,-69.3,18.6,-473.7,-58.7,41.2
2376,-68.1,17.4,-467.4,-58.0,39.7
2377,,,,,
2378,-63.6,13.1,-457.9,-55.2,34.2
2379,,,,,
2380,,,,,
