proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
609,,,,,
610,-4.3,11.9,-469.2,0.8,12.6
611,-4.3,11.9,-470.0,0.8,12.6
612,,,,,
613,,,,,
614,-4.3,11.9,-469.6,0.8,12.6
615,-4.3,11.9,-469.1,0.8,12.6
616,,,,,
617,,,,,
618,-4.3,11.9,-469.3,0.8,12.6
619,,,,,
620,-4.3,11.9,-469.8,0.8,12.6
621,-4.4,11.9,-470.3,0.7000000000000001,12.7
622,,,,,
623,-4.3,11.9,-469.9,0.7000000000000001,12.6
624,,,,,
625,,,,,
626,-4.3,11.9,-469.9,0.7000000000000001,12.6
627,,,,,
628,-4.4,11.9,-471.0,0.6000000000000001,12.7
629,-4.3,11.9,-471.1,0.8,12.6
630,,,,,
631,-4.3,11.9,-471.0,0.7000000000000001,12.6
632,,,,,
633,,,,,
634,-4.3,11.9,-470.6,0.7000000000000001,12.6
635,,,,,
636,-4.2,11.9,-470.6,0.8,12.6
637,-4.3,11.9,-470.7,0.7000000000000001,12.6
638,,,,,
639,,,,,
640,-4.4,11.9,-471.3,0.6000000000000001,12.7
641,-4.3,11.9,-471.1,0.7000000000000001,12.6
642,,,,,
643,,,,,
644,-4.3,11.9,-470.2,0.7000000000000001,12.6
645,,,,,
646,-4.4,11.9,-470.7,0.6000000000000001,12.7
647,-4.2,11.9,-470.0,0.7000000000000001,12.6
648,,,,,
649,,,,,
650,-4.4,11.9,-469.9,0.6000000000000001,12.7
651,-4.3,11.9,-470.0,0.6000000000000001,12.6
652,,,,,
653,-4.3,11.9,-469.5,0.6000000000000001,12.6
654,,,,,
655,,,,,
656,-4.3,11.9,-469.3,0.6000000000000001,12.6
657,,,,,
658,-4.3,11.9,-470.0,0.6000000000000001,12.6
659,-4.3,11.9,-469.4,0.6000000000000001,12.6
660,,,,,
661,-4.3,11.9,-469.5,0.6000000000000001,12.6
662,,,,,
663,,,,,
664,-4.3,11.9,-469.6,0.6000000000000001,12.6
665,-2.9,7.9,-314.1,0.4,8.4
666,,,,,
667,-4.3,11.9,-467.7,0.6000000000000001,12.6
668,,,,,
669,-4.2,11.8,-469.4,0.6000000000000001,12.5
670,,,,,
671,,,,,
672,-4.3,11.9,-469.3,0.5,12.7
673,-4.3,11.9,-469.7,0.5,12.6
674,,,,,
675,-4.3,11.9,-469.7,0.5,12.6
676,,,,,
677,-4.3,11.9,-469.4,0.5,12.6
678,,,,,
679,,,,,
680,-4.3,11.9,-469.6,0.5,12.6
681,-4.3,11.9,-469.5,0.5,12.6
682,,,,,
683,-4.3,11.9,-469.7,0.5,12.6
684,,,,,
685,,,,,
686,-4.3,11.9,-469.7,0.5,12.6
687,-4.3,11.9,-469.5,0.5,12.7
688,,,,,
689,-3.5,9.7,-381.5,0.4,10.3
690,,,,,
691,,,,,
692,4.5,-6.0,-301.5,1.9,-7.2
693,-2.8,7.9,-311.9,0.30000000000000004,8.4
694,,,,,
695,-4.3,11.9,-469.9,0.4,12.6
696,,,,,
697,,,,,
698,-4.3,11.9,-470.0,0.5,12.6
699,-4.3,11.9,-470.0,0.4,12.6
700,,,,,
701,,,,,
702,-4.3,11.9,-469.7,0.4,12.6
703,-4.3,11.9,-469.8,0.5,12.6
704,,,,,
705,-4.2,11.9,-469.5,0.4,12.6
706,,,,,
707,-4.3,11.9,-470.0,0.4,12.6
708,,,,,
709,-4.3,11.9,-469.9,0.4,12.6
710,,,,,
711,,,,,
712,-4.3,11.9,-470.3,0.4,12.6
713,,,,,
714,-2.9,8.0,-317.5,0.2,8.5
715,,,,,
716,-3.0,8.3,-328.7,0.2,8.8
717,,,,,
718,-3.0,8.3,-329.5,0.2,8.8
719,-4.3,11.6,-456.1,0.2,12.3
720,,,,,
721,,,,,
722,-4.2,11.1,-459.1,0.1,11.9
723,,,,,
724,-2.9,8.0,-384.1,0.2,8.5
725,,,,,
726,-2.9,8.0,-319.1,0.2,8.5
727,,,,,
728,-3.6,10.1,-319.5,0.30000000000000004,10.7
729,,,,,
730,-3.1,8.2,-315.9,0.1,8.8
731,,,,,
732,-2.9,8.0,-316.5,0.2,8.5
733,-4.3,11.9,-470.3,0.30000000000000004,12.7
734,,,,,
735,,,,,
736,-4.2,11.9,-470.2,0.4,12.6
737,,,,,
738,-4.4,11.9,-470.1,0.2,12.7
739,-3.5,9.9,-392.1,0.30000000000000004,10.5
740,,,,,
741,,,,,
742,-3.4,9.5,-381.0,0.2,10.1
743,-2.9,8.0,-314.3,0.2,8.5
744,,,,,
745,,,,,
746,-2.9,8.0,-314.9,0.2,8.5
747,,,,,
748,-3.0,8.1,-317.2,0.1,8.6
749,,,,,
750,-2.9,8.0,-314.9,0.2,8.5
751,,,,,
752,-2.8,8.0,-314.9,0.2,8.5
753,,,,,
754,-2.9,8.0,-314.9,0.2,8.5
755,,,,,
756,-2.9,8.0,-314.9,0.1,8.5
757,,,,,
758,-2.9,8.0,-314.9,0.1,8.5
759,,,,,
760,-2.8,8.0,-315.3,0.2,8.5
761,,,,,
762,-4.3,11.9,-471.2,0.1,12.7
763,,,,,
764,-4.3,11.9,-471.3,0.1,12.7
765,,,,,
766,-4.3,11.9,-470.6,0.1,12.7
767,,,,,
768,-4.3,11.9,-470.4,0.1,12.7
769,-4.2,11.9,-470.5,0.2,12.6
770,,,,,
771,,,,,
772,-4.2,11.9,-469.1,0.2,12.6
773,,,,,
774,-4.3,11.9,-471.6,0.1,12.6
